cancer	HR	HR.95L	HR.95H	pvalue
ACC	1.74745250731535	1.04254052246595	2.92898952081017	0.0341705085930631
BLCA	1.06690008790601	0.82531907964003	1.3791948176823	0.621055272800582
BRCA	0.965957767900127	0.747151254816825	1.24884272542024	0.791556057244896
CESC	0.672898219865364	0.460267832098567	0.983757679161489	0.0409067305030192
CHOL	1.93252609791864	0.8415215912363	4.43798134002713	0.120377437321767
COAD	1.01140962775782	0.553641467798446	1.84767488459446	0.97056403151623
DLBC	0.17325358476769	0.00608270842915884	4.9347761748636	0.304972291410185
ESCA	0.770545271447871	0.527689213111175	1.12516989280503	0.177202158336346
GBM	1.61561806119945	1.11295518475094	2.34530712057196	0.0116438177198997
HNSC	0.979795221139382	0.799352203442787	1.20097082516678	0.84417968669164
KICH	18.3019422422808	1.30539837568171	256.59683364081	0.0309445393270665
KIRC	1.75569500977616	1.17345198774525	2.62683518332586	0.00618077648394738
KIRP	3.37091590639294	2.05870163003828	5.51953419678483	1.36531034496874e-06
LAML	0.618029870889471	0.352453926816944	1.08371872817873	0.0930770560343021
LGG	2.80760299132697	2.34538882621432	3.36090735523435	2.36265896724109e-29
LIHC	1.26025536531697	0.892067441717148	1.78040752474161	0.18948574975496
LUAD	1.19812906583646	0.890469609072771	1.61208562737691	0.232550389189878
LUSC	0.808076198260964	0.647804720469659	1.00799997524328	0.0588490959218343
MESO	1.98651679304398	1.4121338135001	2.79452905335128	8.08480657846256e-05
OV	0.910299361841568	0.744792784759492	1.11258452703291	0.358649833408392
PAAD	1.21468151843848	0.829711118883071	1.77827096402206	0.31728772022203
PCPG	2.16110993503464	0.587573323119488	7.94861844052041	0.246162963209815
PRAD	2.38777670462555	0.927143291332831	6.14951070072047	0.0713510718150048
READ	1.04078578227847	0.373619119833556	2.89930302570054	0.939038649444459
SARC	1.36666369682906	1.02252391107724	1.82662687884018	0.0348194786048202
SKCM	1.08678507644916	0.891663831212283	1.32460436439012	0.409783208615007
STAD	0.837774712264748	0.555803907542473	1.26279513149455	0.397847553561419
TGCT	1.25094777510063	0.213152877238965	7.34153982014914	0.804149115363122
THCA	0.830355484130436	0.115075407266036	5.99163840829605	0.853724874712162
THYM	1.68269813764566	0.475807979753369	5.95087334160275	0.419388828967693
UCEC	1.1656060365414	0.858575219010357	1.58243261899382	0.325893623048917
UCS	1.12850032858098	0.597501356425747	2.13139765778195	0.709437644247954
UVM	1.3009414977524	0.692098268007272	2.4453879727907	0.413908465230046
